"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"U2AF2",0.543883982,0.501893074,0.479757425,0.674118614,0.700175129,-0.061316997,-0.056629717,0.054736189,0.087593819,0.469861663,0.001485424,0.399624179,0.010958941,-0.228694121,0.211749549,0.151451672,-0.350728069,0.528689818,0.786329959,0.252878412,0.269978373,-0.147364132
"SPEN",0.503712178,0.162648691,0.270280916,0.385833568,0.633590528,-0.64475063,-0.06642171,0.186152526,-0.016679374,0.338683187,-0.562468907,0.25801289,-0.517517257,0.068310217,-0.40205875,0.166656016,-0.136076011,0.289299634,0.735208972,-0.124349735,-0.123653227,-0.116102707
"ZC3H15",0.368149363,-0.061622138,0.339273302,0.840865671,0.445363365,0.498673538,0.04587907,0.488184104,0.328894046,0.619380451,-0.797228413,0.182364228,-0.07257183,0.305419266,-0.308821651,-0.126435242,-0.243398227,-0.157720973,0.699206853,-0.634365789,0.919743973,-0.334179917
"YBX1",0.530367965,0.867643978,0.413013204,0.199783348,0.690150062,0.394226331,0.202654613,0.176880435,0.38355916,0.174623643,-0.784008168,0.060038114,0.132047021,0.293934027,-0.799946977,-0.035880147,-0.012307519,0.025066145,0.629320153,0.126344893,1.093970872,-0.142203579
"ELAVL1",0.614926214,0.263584133,0.224636774,0.98001258,0.841269672,0.019085625,0.132145465,-0.345647076,0.227665119,0.38078144,-0.199783034,0.444676427,-0.355019346,-0.030224432,0.097170365,0.95697125,-0.310953922,0.057532548,0.790716202,-0.041690747,0.290973582,-0.158608238
"THUMPD1",-0.236373569,-0.605372708,0.243302879,-0.186914114,-0.416886956,0.060314388,0.565911421,-0.017369015,-0.042287845,0.244864243,-0.199515544,0.149693441,0.186431993,-0.03822694,0.270479486,-0.921325802,-0.483090537,0.190086678,-0.160172487,-0.60675236,0.346040281,-0.078833735
"DHX8",-0.181358384,0.482988906,0.132195879,0.532215789,0.601569815,-0.173276218,0.125399865,0.028893983,-0.01379589,0.411796692,-0.28536132,0.058283149,-0.238906434,-0.141542318,-0.0174933,0.424377598,0.036779192,-0.129064885,0.482984143,0.282333917,0.605487671,0.210775176
"SRBD1",-0.61730736,-0.235589105,0.950653843,0.267037542,0.786666167,-0.297816612,0.762828976,-0.149040478,0.167443001,0.485333729,-0.290646019,0.273701945,-0.504025863,-0.060760961,-0.466410242,0.449860097,0.028834385,-0.472482833,0.185214166,0.171006635,0.834401508,-0.460814632
"PABPC1",0.131291234,0.176361401,-0.014269659,-0.068933535,0.661667447,0.054270275,-0.139646934,0.386259978,0.220623339,-0.113072636,0.148528797,0.065537825,0.024631819,-0.070589631,0.130651998,0.322864302,-0.153375899,0.250224714,0.637410854,0.112909471,0.682930117,-0.302043917
"DAZAP1",0.070438027,0.426651505,-0.429590106,-0.462223168,0.662258421,0.829240471,-0.324592797,0.050619493,0.27681933,0.309617228,0.147692294,0.722605649,-0.081381295,-0.297106662,0.151338612,-0.586894095,-0.268796521,0.188977594,0.226603877,0.542432446,0.432781782,-0.041744156
