"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"ZC3HAV1",6.23162591257486,6.06841185169226,5.97257194706367,4.5488945950845,5.61179973994354,5.14354855138447,5.15812319925881,5.66717236062263,6.16030850176079,6.35410067620735,5.4281538431281,5.83747717959713,5.68088371819605,5.82747591333085,5.43357231577606,5.82747591333085,5.51822956296123,6.59096761773289,5.48769353144415,5.84802770386957,5.94516916220256,5.82846161645225
"EIF3B",7.32055256274585,7.21884065761131,7.68654890760208,7.3502685708768,7.19716415991982,7.5256733562584,7.40474908213621,6.96179380051575,6.81727967096645,7.2194018310744,6.9108685374366,7.16781946284684,6.86200234377046,7.72068146957743,7.79035765713014,7.01801874800784,7.36665713643541,6.61904643169528,7.56693856793771,7.03312218915108,7.71220592853797,7.2194018310744
"RBM28",7.20109163381589,6.77038160823385,7.3254485562921,7.26546357627238,7.46513064186139,7.31071946246837,6.98481065159792,6.67047367588429,6.868467253008,6.57833231786724,6.0499202380221,7.24793255707484,6.17135404799942,6.81269234679474,6.0900401851998,6.5616987024234,6.92795569596494,6.80223330412332,7.34697924032991,7.16614365262913,7.19380835734531,6.5132734625293
"LSM5",3.88324763835238,4.32524235885764,4.42218902786676,5.35039216072287,5.1249521631612,4.74728097631228,4.87963539680855,4.80557639335985,3.7845753990048,3.81715073129833,4.14006710848592,4.49816855826531,4.0816846592304,4.33552029181563,4.8770584113318,4.81417824927744,4.30693704447805,5.25856864441553,5.30203121422325,4.11501742045391,4.85345512511727,4.05136804538454
"EIF4H",6.99888860368631,7.84062391937543,8.11610955231543,7.01540991123909,6.83947143926154,7.90699700967105,6.8163767122467,7.41934784273085,6.93328407637486,6.71277557683929,7.27573843926165,6.23052320340621,7.07875098249712,6.51014804636547,7.9361069340039,7.42925682918988,7.75096428344176,7.57506918925742,7.28924502503006,7.60588690703269,6.98237681918303,7.06972623116601
"FUBP3",5.69880672828871,6.33410317333669,5.9971444842866,6.12062684728094,5.64729049983592,5.94815144272703,6.60238380932974,6.01315686643854,5.44653532941412,5.73157583972837,6.02316185363913,5.57584782317333,6.34823657004438,5.74185733408972,5.89352600058624,6.47034242121339,6.45520300651009,6.43849553628589,5.92671707695784,5.62773815059123,6.19603993449812,6.28810610385644
"CPEB3",5.29785080187254,3.94597001958494,4.35847720871987,2.85655898509362,3.339168844092,4.61048537530376,4.47049993009015,4.39776279214582,4.82622044705705,3.91367858252574,4.81481108159543,3.85952605561478,4.17167281420545,4.37345156046199,4.30217450308634,3.77818259948862,3.1778472447451,4.66445809519067,3.22074769085273,3.52314829893731,4.30623316047822,3.46869043963788
"LARP4B",7.49575748658561,7.00391127365446,7.25730055067594,8.0748464603896,6.98736570746483,7.11362649509037,6.61027543219865,6.86991771803822,6.65559469972433,6.65301272824716,7.26739126820698,6.94542297888221,6.57592088958849,7.1392500274644,7.33529012544217,6.54574292666668,6.82085791124483,7.29044684376066,6.86941104217667,7.6278423483066,6.82313334836398,6.337079630528
"SUPT6H",7.91582837720957,8.30283030947545,8.00024567482892,7.92996050601239,8.72231929834798,7.72578195204836,8.40079635713123,7.51194807029952,7.81854909444488,8.46234431197899,8.04147785585361,8.31898144399408,8.49557330756914,8.48847973303611,8.05024529269804,7.74835918880162,8.04028816556311,7.24094757321951,7.68914648009035,8.15934105649173,8.64802647882501,8.26287650244971
"CPSF6",6.92842073442084,7.09480276621388,7.13063029750698,7.15955950549197,6.98083806844284,7.35656952963472,7.52130764448423,7.18806262563971,6.25858161713139,7.07875098249712,6.42348752649651,6.89994956771627,6.77171459725233,6.4660910448106,7.09327198870406,6.63976051085842,7.23681977333373,6.7079890647094,7.26672984466113,6.82631923400978,6.22216470214007,7.0639267203385
"KRR1",6.25243988927279,5.39165850360185,5.705155019655,6.13749959064928,6.53116269250245,5.87909203658131,6.44289543782953,5.7550683487382,6.25075023136498,5.50196900196364,5.89095764964255,5.81009749252525,5.52900912691335,5.85034903112179,5.63481300785484,5.60068858417097,5.77348105188087,5.99239878586448,6.54574292666668,6.10397352412788,6.28515881639555,5.19378282347144
"SRSF9",8.19660297183319,8.60498700533809,9.32920883053908,8.52633373788991,7.87990843476847,7.32781866764445,9.06845200991209,8.21376291291303,7.6366331668183,8.19529499852488,9.08201197564299,8.5300199724052,8.59701262058453,8.02027414142238,8.99431225238841,8.24486084683577,9.1531624670594,8.84665764570772,8.95502031112433,8.02489160183918,7.75437678894074,8.2018518865249
"SRSF3",7.8311641552294,8.5374363943045,7.79209262422142,7.66716548424543,8.03805324642634,8.20977688225381,8.30283030947545,7.76685479251748,7.40409474310245,8.27554332056084,8.59502975281633,8.24761133372331,7.84419855822297,8.10050327083418,8.66710970141402,7.89581031240687,8.11248715487355,7.82318502357134,8.18878041440576,8.06636699304203,8.23665463025458,8.3816564900634
"RBM24",2.37304921050161,2.24252734382123,2.10744450443673,2.89447861829544,2.76927777052623,2.11557675170345,3.24666925784795,0.940669442704992,0.78663176708762,2.1806476496829,1.51809211256833,1.3820256011123,3.86083120761892,1.00908344124761,0.35443091109222,2.30023679929737,1.04247760551615,2.05813999857153,3.55220101104474,1.96658838480208,1.43716069407617,2.4071088892617
"QKI",5.15590435647006,5.75107208894091,5.54443581084628,6.61321222907093,5.40370446400409,5.37559904395344,5.92671707695784,6.08863768568864,5.49940734986994,6.47912408891755,6.9973898552107,6.21108879854885,6.46496186087501,6.28441147990241,6.44141928926487,6.18831840721044,5.78191430140464,5.46601057387021,5.45067067502007,6.04520187783976,5.65321728578738,6.76001529489817
