"Rownames","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"DKKL1",1.14843895541366,1.81624320240776,1.78486161508706,3.89535071949443,3.41989896471026,2.79303360721874,4.4701354935129,2.68738841675625,2.84755394606691,-0.546767789022151,0.733236561645406,-0.0619742696641401,0.0131660610394508,-0.00694035795199444,1.30698478311487,2.33340466445084,2.10658352386186,1.95709164728071,2.37218093474337,-0.208446373438202,1.75810104149455,-0.333254328983696
"SLFN11",5.0051614016114,5.91935376043336,5.20752337317968,3.55175905948182,4.90906606720405,5.14071456824658,3.87387989074105,4.51311375891884,4.82202479265281,6.89951352796702,6.76584915358655,5.84970348348626,6.09150237440625,5.63481300785484,6.23338220918105,5.83425480174553,5.68533950373805,5.51349277920291,5.84637965469402,6.25243988927279,4.48952242237538,7.21052268392197
"HLA-DQB1-AS1",1.30263270457896,1.39244555857888,-0.766366214402852,-0.175367304999441,-1.93383884862728,2.17974833025173,-0.779466409488071,1.15648622575169,2.4644613542323,5.83494366005399,5.33596818429364,4.45839520546761,4.01543707939225,2.16395728233393,3.44451569070421,5.25705142896034,3.38504714859903,-0.192087623373524,0.578755265449757,5.12084741541271,2.43754980519959,2.67175412468179
"MAN1A1",4.45228411848781,5.26862550319051,4.83002998965758,1.51327092272041,3.36078042988119,3.15774812897124,3.8701894229877,5.08648483039326,4.15264361118347,6.52058487839689,5.42784428179892,5.06935203761214,6.38913667650143,5.05473094049549,5.28348004108112,5.89190704267307,5.74721994087419,4.79975441181963,5.6994352542984,6.13959395252841,4.00298383458232,6.18728898042941
"SSTR1",3.22242972498797,3.22459979159391,1.91535051467406,1.86422658962542,4.64362151385078,3.23655125250023,4.37592212249148,3.35625793789186,3.53434030294047,1.8304800734635,2.09955994965957,3.12756063873075,1.28162789447689,0.869522557312325,2.14893413075392,2.97852537028931,1.74029073763124,2.28751381992844,1.34937607501641,0.543353715817176,0.968368779825704,-0.632286255907254
"TPST2",2.7531710780123,3.38556004829254,2.91005480225842,1.68879170391441,1.45738311520058,1.49327429197828,1.00563473889002,3.32137870762005,3.09486522014374,4.07505414284172,4.26901537063949,2.54318506727033,4.03649739977812,4.02782560263843,4.72362010639108,3.85300182291734,3.05350830986351,4.10570501487715,2.8678973931522,3.1026181985824,3.14589220522997,4.16974234496341
"NPAS3",3.71990938228439,7.26797370620428,5.94009010748167,5.90062437876378,6.51444778934515,5.31755619574114,5.78317056799506,7.47598578321441,7.20940409471625,3.77070437493205,2.68674496154715,4.78696703213479,4.08253621159671,5.25264362372721,3.05885576863311,4.48418221135329,4.78441737126313,4.54616532928341,4.99842581053823,6.53116269250245,3.46102878960906,3.33862071862546
"DSC3",1.37528186889244,2.66155128061575,5.28479186033037,0.233646300923628,4.32562992584799,2.56684246911844,1.47169237588068,4.37629007675545,3.19193228997087,5.91576203109999,4.90122517548715,4.25162814481745,5.04385466005148,3.7261083423088,5.13165503891269,6.44251730727119,5.88728519283784,2.37851315316575,5.59319663943612,5.34944266226424,7.9691222692974,5.42653122775189
"NPM3",3.81514178747433,4.69576389250732,3.86249874511326,3.60605519499942,5.41931337431957,4.88738407039042,4.72032065078569,4.11851859534761,3.89659684388746,1.99916153397725,2.19028473293595,2.41751308072576,2.46596801550323,2.20234847774917,4.33698142372725,3.68858897859133,3.18817949048632,4.57280864953122,1.83661983404571,2.96347924042335,3.935468174111,2.78710872045694
"ZNF750",3.76350043166776,5.52078997582317,1.83767760304302,1.64799618123241,5.54477946280537,1.97952876392253,6.35051888336864,4.09356988057546,5.61524979131338,0.122784135324971,1.61251528106396,1.62727048484945,0.867755028134257,2.31433868195895,2.04079979904898,1.35075029094453,1.61251528106396,1.59060678990188,1.6642081801943,0.9187228327085,4.53968739653454,2.24426227185725
"RYR2",7.70075372882686,7.81214744580125,8.41214011663097,6.63608274037283,6.20262344830029,6.00578225145086,5.36813577733384,8.10169544180905,8.15179923369803,6.46956697861307,4.10803646396407,5.3251454378328,6.20824313404693,5.44974122455761,4.16097427072088,5.27775124360161,5.71124924391224,5.35505588817731,6.21678780799301,4.8369048056838,4.45702623105744,7.40272991612348
